"id","boost","city_id","classify","column_id","create_time","focus_img","level","origin","pub_time","sens","similarity_label","site_classify","site_id","source","title","url","province","date","nature","score","seq","word"
"108763","4","0","时事","34851","30/9/2020 10:15:13",,"0","中共中央党校","30/9/2020 10:14:59","99","0","3","1059","学习时报","主题党日要增强“党味 ”","http://www.ccps.gov.cn/xwpd/jgdj/202008/t20200828_142962.shtml","0",,,"0","0",
"108764","4","210","文化","34852","30/9/2020 10:15:13",,"2","安溪新闻网","28/4/2020 10:01:26","100","0","11","451","安溪报","县长带货直播 为安溪“双铁”拼单","http://www.anxinews.com/content/2020-04/28/content_6068538.htm","13",,,"0","0",
"108765","4","210","社会","34849","30/9/2020 10:15:13",,"2","安溪新闻网","15/7/2020 17:44:47","2","0","11","451","安溪新闻网","“退休专家”称太阳活动引发气候灾难？辟谣来了！","http://www.anxinews.com/content/2020-07/15/content_6081089.htm","13",,,"0","0",
"108766","4","0","国际","34850","30/9/2020 10:15:13",,"0","中共中央党校","30/9/2020 10:15:01","100","0","3","1059","中央党校","谢春涛会见澳新政府学院院长史密斯一行","http://www.ccps.gov.cn/xwpd/dwjl/202001/t20200114_137497.shtml","0",,,"0","0",
"108767","4","210","时事","34849","30/9/2020 10:15:13",,"2","安溪新闻网","22/6/2020 09:41:29","100","0","11","451","东南网","省委宣传部向基层赠阅《习近平在福建》系列报纸","http://www.anxinews.com/content/2020-06/22/content_6077593.htm","13",,,"0","0",
"108768","4","0","时事","34850","30/9/2020 10:15:13",,"0","中共中央党校","30/9/2020 10:15:03","92","0","3","1059","中央党校","谢春涛副校（院）长访问阿尔及利亚、安哥拉、南非","http://www.ccps.gov.cn/xwpd/dwjl/201912/t20191220_136990.shtml","0",,,"0","0",
"108769","4","0","时事","34851","30/9/2020 10:15:13",,"0","中共中央党校","30/9/2020 10:15:01","0","0","3","1059","中央党校","切实以案为戒  严守政治纪律","http://www.ccps.gov.cn/xwpd/jgdj/202008/t20200824_142898.shtml","0",,,"0","0",
"108770","4","210","文化","34852","30/9/2020 10:15:13",,"2","安溪新闻网","28/4/2020 09:54:26","92","0","11","451","安溪报","《三联生活周刊》直播带你寻访安溪好茶","http://www.anxinews.com/content/2020-04/28/content_6068526.htm","13",,,"0","0",
"108771","4","210","时事","34849","30/9/2020 10:15:13",,"2","安溪新闻网","13/8/2020 17:05:18","0","0","11","451","安溪新闻网","对“舌尖上的浪费”坚决说不！习近平再作指示","http://www.anxinews.com/content/2020-08/13/content_6085824.htm","13",,,"0","0",
"108772","4","0","国际","34850","30/9/2020 10:15:13",,"0","中共中央党校","30/9/2020 10:15:02","87","0","3","1059","中央党校","甄占民率团访问卡塔尔法国意大利","http://www.ccps.gov.cn/xwpd/dwjl/201912/t20191226_137123.shtml","0",,,"0","0",
"108773","4","210","时事","34852","30/9/2020 10:15:13",,"2","安溪新闻网","24/4/2020 11:20:24","99","0","11","451","安溪报","择机抢晴采制茶青","http://www.anxinews.com/content/2020-04/24/content_6067931.htm","13",,,"0","0",
"108774","4","0","综合","34851","30/9/2020 10:15:13",,"0","中共中央党校","30/9/2020 10:15:02","100","0","3","1059","学习时报","强化政治机关政治学校意识推动校（院）网信工作新发展","http://www.ccps.gov.cn/xwpd/jgdj/202007/t20200724_142519.shtml","0",,,"0","0",
"108775","4","0","国际","34850","30/9/2020 10:15:13",,"0","中共中央党校","30/9/2020 10:15:03","100","0","3","1059","中央党校","中央党校（国家行政学院）部分国际合作伙伴抗击疫情有关情况","http://www.ccps.gov.cn/xwpd/dwjl/202003/t20200309_138598.shtml","0",,,"0","0",
"108776","4","0","综合","34851","30/9/2020 10:15:14",,"0","中共中央党校","30/9/2020 10:15:02","96","0","3","1059","学习时报","甄占民在中央党校（国家行政学院）讲专题党课时强调","http://www.ccps.gov.cn/xwpd/jgdj/202007/t20200717_142356.shtml","0",,,"0","0",
"108777","4","210","综合","34849","30/9/2020 10:15:14",,"2","安溪新闻网","22/6/2020 09:39:53","100","0","11","451","东南网","《习近平在福建》鼓舞福建省干部群众奋勇前行","http://www.anxinews.com/content/2020-06/22/content_6077588.htm","13",,,"0","0",
"108778","4","0","时事","34850","30/9/2020 10:15:14",,"0","中共中央党校","30/9/2020 10:15:04","96","0","3","1059","中央党校","王东京会见俄罗斯联邦共产党中央委员会主席久加诺夫一行","http://www.ccps.gov.cn/xwpd/dwjl/201912/t20191210_136755.shtml","0",,,"0","0",
"108779","4","0","时事","34851","30/9/2020 10:15:14",,"0","中共中央党校","30/9/2020 10:15:04","53","0","3","1059","学习时报","以讲政治引领知行合一","http://www.ccps.gov.cn/xwpd/jgdj/202007/t20200717_142347.shtml","0",,,"0","0",
"108780","4","210","财经","34852","30/9/2020 10:15:14",,"2","安溪新闻网","14/4/2020 11:32:55","90","0","11","451","安溪报","建言茶产业复产复市路径","http://www.anxinews.com/content/2020-04/14/content_6065851.htm","13",,,"0","0",
"108781","4","210","综合","34849","30/9/2020 10:15:14",,"2","安溪新闻网","22/6/2020 09:21:44","99","0","11","451","安溪新闻网","习近平在福建（四）：“习近平同志这么做是对‘功成不必在我’精神境界的最好诠释”","http://www.anxinews.com/content/2020-06/22/content_6077583.htm","13",,,"0","0",
"108782","4","0","时事","34850","30/9/2020 10:15:15",,"0","中共中央党校","30/9/2020 10:15:06","100","0","3","1059","中央党校","“讲好中国故事”主题沙龙——对话莫桑比克解放阵线党高级干部考察团","http://www.ccps.gov.cn/xwpd/dwjl/201912/t20191209_136732.shtml","0",,,"0","0",
"108783","4","0","国际","34850","30/9/2020 10:15:15",,"0","中共中央党校","30/9/2020 10:15:09","82","0","3","1059","中央党校","王东京会见叙利亚阿拉伯复兴社会党副总书记希拉勒一行","http://www.ccps.gov.cn/xwpd/dwjl/201911/t20191126_136409.shtml","0",,,"0","0",
"108784","4","210","综合","34849","30/9/2020 10:15:15",,"2","安溪新闻网","19/6/2020 11:05:22","98","0","11","451","安溪新闻网","习近平在福建（三）：“近平同志既有启民心智的魅力，又有知民冷暖的情怀”","http://www.anxinews.com/content/2020-06/19/content_6077466.htm","13",,,"0","0",
"108785","4","0","时事","34850","30/9/2020 10:15:16",,"0","中共中央党校","30/9/2020 10:15:10","92","0","3","1059","中央党校","谢春涛副校（院）长访问阿尔及利亚、安哥拉、南非","http://www.ccps.gov.cn/xwpd/dwjl/201912/t20191217_136908.shtml","0",,,"0","0",
"108786","4","210","综合","34849","30/9/2020 10:15:16",,"2","安溪新闻网","17/6/2020 19:03:43","100","0","11","451","东南网","《习近平在福建》在闽掀起学习新热潮","http://www.anxinews.com/content/2020-06/17/content_6077464.htm","13",,,"0","0",
"108787","4","0","时事","34850","30/9/2020 10:15:16",,"0","中共中央党校","30/9/2020 10:15:11","96","0","3","1059","中央党校","“中德社会主义生态文明研讨会”在中央党校（国家行政学院）举行","http://www.ccps.gov.cn/xwpd/dwjl/201911/t20191126_136407.shtml","0",,,"0","0",
"108788","4","210","综合","34849","30/9/2020 10:15:17",,"2","安溪新闻网","17/6/2020 19:02:53","100","0","11","451","学习时报","习近平在福建（二）：“习近平同志做一切工作都是以人民为中心”","http://www.anxinews.com/content/2020-06/17/content_6077463.htm","13",,,"0","0",
"108789","4","210","综合","34847","30/9/2020 10:15:17",,"2","安溪新闻网","29/9/2020 10:13:30","99","0","11","451","安溪报","福田丰田：乡风文明景色更美","http://www.anxinews.com/content/2020-09/29/content_6092843.htm","13",,,"0","0",
"108790","4","210","综合","34849","30/9/2020 10:15:17",,"2","安溪新闻网","16/6/2020 19:01:32","100","0","11","451","东南网","中共福建省委办公厅发出通知 认真学习《习近平在福建》","http://www.anxinews.com/content/2020-06/16/content_6077462.htm","13",,,"0","0",
"108791","4","0","综合","34848","30/9/2020 10:15:17",,"0","中共中央党校","30/9/2020 10:15:15","100","0","3","1059","学习时报","新疆：用文化的金线和幸福的璎珞编织您","http://www.ccps.gov.cn/xwpd/xypx/202001/t20200113_137467.shtml","0",,,"0","0",
"108792","4","210","综合","34849","30/9/2020 10:15:17",,"2","安溪新闻网","16/6/2020 19:00:46","100","0","11","451","东南网","福建省干部群众争相学习《习近平在福建》","http://www.anxinews.com/content/2020-06/16/content_6077461.htm","13",,,"0","0",
"108793","4","210","时事","34847","30/9/2020 10:15:18",,"2","安溪新闻网","29/9/2020 10:13:34","98","0","11","451","安溪电视台","感德举办制茶技艺培训","http://www.anxinews.com/content/2020-09/29/content_6092842.htm","13",,,"0","0",
"108794","4","0","时事","34848","30/9/2020 10:15:18",,"0","中共中央党校","30/9/2020 10:15:16","100","0","3","1059","中央党校","推动制度成果转化为治理效能","http://www.ccps.gov.cn/xwpd/xypx/202001/t20200113_137460.shtml","0",,,"0","0",
"108795","4","210","综合","34849","30/9/2020 10:15:18",,"2","安溪新闻网","15/6/2020 18:59:36","100","0","11","451","学习时报","习近平在福建（一）：“习近平同志抓住历史机遇，对福建的改革开放作出了历史性贡献”","http://www.anxinews.com/content/2020-06/15/content_6077460.htm","13",,,"0","0",
"108796","4","210","社会","34849","30/9/2020 10:15:18",,"2","安溪新闻网","26/4/2020 10:16:49","88","0","11","451","安溪新闻网","2020年全国知识产权宣传周活动启幕","http://www.anxinews.com/content/2020-04/26/content_6068165.htm","13",,,"0","0",
"108797","4","0","时事","34848","30/9/2020 10:15:18",,"0","中共中央党校","30/9/2020 10:15:16","100","0","3","1059","中央党校","歌舞庆盛世 同心谱华章","http://www.ccps.gov.cn/xwpd/xypx/202001/t20200109_137384.shtml","0",,,"0","0",
"108798","4","210","教育","34846","30/9/2020 10:15:19",,"2","安溪新闻网","29/9/2020 10:24:03","100","0","11","451","安溪报","提质扩容：办好人民满意的教育","http://www.anxinews.com/content/2020-09/29/content_6092850.htm","13",,,"0","0",
"108799","4","210","时事","34847","30/9/2020 10:15:19",,"2","安溪新闻网","29/9/2020 10:13:37","97","0","11","451","安溪报","掀起《民法典》学习热潮","http://www.anxinews.com/content/2020-09/29/content_6092841.htm","13",,,"0","0",
"108800","3","210","旅游","34845","30/9/2020 10:15:19",,"2","安溪新闻网","29/9/2020 10:31:01","99","0","11","451","安溪报","同德大桥首件现浇梁混凝土顺利完成浇筑","http://www.anxinews.com/content/2020-09/29/content_6092858.htm","13",,,"0","0",
"108801","4","0","时事","34848","30/9/2020 10:15:19",,"0","中共中央党校","30/9/2020 10:15:17","99","0","3","1059","中央党校","中央党校（国家行政学院）进修一部举办第4期“求实沙龙”：以新发展理念为引领，推动高质量发展","http://www.ccps.gov.cn/xwpd/xypx/202001/t20200103_137292.shtml","0",,,"0","0",
"108802","4","210","文化","34846","30/9/2020 10:15:19",,"2","安溪新闻网","29/9/2020 10:23:45","100","0","11","451","安溪报","百万元消费券等你来拿","http://www.anxinews.com/content/2020-09/29/content_6092849.htm","13",,,"0","0",
"108803","3","210","综合","34845","30/9/2020 10:15:20",,"2","安溪新闻网","29/9/2020 10:43:00","94","0","11","451","安溪报","第三季度17个项目开竣工","http://www.anxinews.com/content/2020-09/29/content_6092864.htm","13",,,"0","0",
"108804","4","210","社会","34847","30/9/2020 10:15:20",,"2","安溪新闻网","29/9/2020 10:13:40","72","0","11","451","安溪报","泉州市急性胸痛区域联合救治进展学习班在县医院举办","http://www.anxinews.com/content/2020-09/29/content_6092840.htm","13",,,"0","0",
"108805","4","0","时事","34848","30/9/2020 10:15:21",,"0","中共中央党校","30/9/2020 10:15:17","99","0","3","1059","中央党校","中央党校（国家行政学院）进修一部举办第3期“求实沙龙”：坚持创新思维","http://www.ccps.gov.cn/xwpd/xypx/202001/t20200103_137289.shtml","0",,,"0","0",
"108806","4","210","社会","34846","30/9/2020 10:15:21",,"2","安溪新闻网","29/9/2020 10:23:48","54","0","11","451","安溪报","一批智能电子警察“上岗”","http://www.anxinews.com/content/2020-09/29/content_6092848.htm","13",,,"0","0",
"108807","4","210","社会","34847","30/9/2020 10:15:21",,"2","安溪新闻网","29/9/2020 10:13:43","100","0","11","451","安溪报","吴国顺：四十三载乡村电影人生","http://www.anxinews.com/content/2020-09/29/content_6092839.htm","13",,,"0","0",
"108808","4","210","社会","34846","30/9/2020 10:15:21",,"2","安溪新闻网","29/9/2020 10:23:51","99","0","11","451","安溪报","为家长开辟驾考绿色通道","http://www.anxinews.com/content/2020-09/29/content_6092847.htm","13",,,"0","0",
